r,C_aq,O_aq
0.25,0.1565288,0.1106354456
0.297979798,0.1565168429,0.1106337753
0.345959596,0.1565082039,0.1106340483
0.3939393939,0.1565016594,0.1106343916
0.4419191919,0.1564965309,0.1106348042
0.4898989899,0.156492404,0.1106352864
0.5378787879,0.1564890117,0.1106358341
0.5858585859,0.1564861742,0.1106364449
0.6338383838,0.1564837659,0.1106371174
0.6818181818,0.1564816963,0.1106378503
0.7297979798,0.1564798989,0.1106386428
0.7777777778,0.1564783234,0.1106394944
0.8257575758,0.1564769312,0.1106404045
0.8737373737,0.1564756923,0.1106413729
0.9217171717,0.1564745827,0.1106423993
0.9696969697,0.1564735833,0.1106434836
1.017676768,0.1564726786,0.1106446256
1.065656566,0.1564718559,0.1106458252
1.113636364,0.1564711045,0.1106470824
1.161616162,0.1564704158,0.1106483973
1.20959596,0.1564697822,0.1106497697
1.257575758,0.1564691976,0.1106511998
1.305555556,0.1564686565,0.1106526876
1.353535354,0.1564681544,0.1106542331
1.401515152,0.1564676872,0.1106558364
1.449494949,0.1564672516,0.1106574976
1.497474747,0.1564668446,0.1106592167
1.545454545,0.1564664634,0.110660994
1.593434343,0.1564661059,0.1106628294
1.641414141,0.15646577,0.1106647232
1.689393939,0.1564654538,0.1106666753
1.737373737,0.1564651557,0.110668686
1.785353535,0.1564648744,0.1106707554
1.833333333,0.1564646085,0.1106728835
1.881313131,0.1564643569,0.1106750705
1.929292929,0.1564641185,0.1106773166
1.977272727,0.1564638924,0.1106796219
2.025252525,0.1564636777,0.1106819864
2.073232323,0.1564634738,0.1106844103
2.121212121,0.1564632798,0.1106868938
2.169191919,0.1564630951,0.1106894369
2.217171717,0.1564629192,0.1106920397
2.265151515,0.1564627516,0.1106947024
2.313131313,0.1564625917,0.110697425
2.361111111,0.156462439,0.1107002076
2.409090909,0.1564622932,0.1107030502
2.457070707,0.156462154,0.110705953
2.505050505,0.1564620208,0.1107089158
2.553030303,0.1564618935,0.1107119388
2.601010101,0.1564617717,0.1107150218
2.648989899,0.1564616552,0.1107181649
2.696969697,0.1564615436,0.1107213679
2.744949495,0.1564614368,0.1107246307
2.792929293,0.1564613345,0.1107279532
2.840909091,0.1564612365,0.1107313352
2.888888889,0.1564611426,0.1107347763
2.936868687,0.1564610527,0.1107382763
2.984848485,0.1564609665,0.1107418349
3.032828283,0.1564608839,0.1107454514
3.080808081,0.1564608048,0.1107491256
3.128787879,0.1564607291,0.1107528566
3.176767677,0.1564606565,0.1107566439
3.224747475,0.156460587,0.1107604867
3.272727273,0.1564605204,0.110764384
3.320707071,0.1564604567,0.1107683348
3.368686869,0.1564603957,0.110772338
3.416666667,0.1564603374,0.1107763923
3.464646465,0.1564602817,0.1107804961
3.512626263,0.1564602284,0.1107846478
3.560606061,0.1564601775,0.1107888457
3.608585859,0.1564601289,0.1107930876
3.656565657,0.1564600826,0.1107973713
3.704545455,0.1564600385,0.1108016943
3.752525253,0.1564599965,0.1108060538
3.800505051,0.1564599565,0.1108104466
3.848484848,0.1564599186,0.1108148694
3.896464646,0.1564598826,0.1108193183
3.944444444,0.1564598485,0.1108237894
3.992424242,0.1564598162,0.1108282778
4.04040404,0.1564597857,0.1108327788
4.088383838,0.156459757,0.1108372867
4.136363636,0.15645973,0.1108417954
4.184343434,0.1564597047,0.1108462985
4.232323232,0.156459681,0.1108507886
4.28030303,0.156459659,0.1108552577
4.328282828,0.1564596384,0.1108596972
4.376262626,0.1564596195,0.1108640976
4.424242424,0.156459602,0.1108684484
4.472222222,0.1564595861,0.1108727383
4.52020202,0.1564595715,0.1108769552
4.568181818,0.1564595584,0.1108810857
4.616161616,0.1564595467,0.1108851156
4.664141414,0.1564595364,0.1108890287
4.712121212,0.1564595275,0.1108928065
4.76010101,0.1564595198,0.1108964306
4.808080808,0.1564595134,0.110899882
4.856060606,0.1564595083,0.1109031101
4.904040404,0.1564595047,0.1109062715
4.952020202,0.156459509,0.1109119208
5,0.156459496,0.1109677557
