r,C_aq,O_aq
0.25,0.1391566633,0.1108329802
0.297979798,0.1391566631,0.1108330203
0.345959596,0.139156663,0.1108330907
0.3939393939,0.1391566629,0.1108331862
0.4419191919,0.1391566628,0.1108333038
0.4898989899,0.1391566627,0.1108334419
0.5378787879,0.1391566626,0.1108335992
0.5858585859,0.1391566625,0.110833775
0.6338383838,0.1391566624,0.1108339687
0.6818181818,0.1391566622,0.1108341799
0.7297979798,0.1391566621,0.1108344084
0.7777777778,0.1391566619,0.110834654
0.8257575758,0.1391566618,0.1108349164
0.8737373737,0.1391566616,0.1108351956
0.9217171717,0.1391566615,0.1108354914
0.9696969697,0.1391566613,0.1108358037
1.017676768,0.1391566611,0.1108361326
1.065656566,0.1391566609,0.1108364778
1.113636364,0.1391566607,0.1108368395
1.161616162,0.1391566605,0.1108372175
1.20959596,0.1391566603,0.1108376118
1.257575758,0.1391566601,0.1108380225
1.305555556,0.1391566599,0.1108384493
1.353535354,0.1391566597,0.1108388925
1.401515152,0.1391566594,0.1108393518
1.449494949,0.1391566592,0.1108398274
1.497474747,0.139156659,0.1108403191
1.545454545,0.1391566587,0.1108408271
1.593434343,0.1391566584,0.1108413512
1.641414141,0.1391566582,0.1108418915
1.689393939,0.1391566579,0.110842448
1.737373737,0.1391566576,0.1108430206
1.785353535,0.1391566573,0.1108436094
1.833333333,0.1391566571,0.1108442143
1.881313131,0.1391566568,0.1108448353
1.929292929,0.1391566565,0.1108454725
1.977272727,0.1391566562,0.1108461258
2.025252525,0.1391566559,0.1108467952
2.073232323,0.1391566556,0.1108474808
2.121212121,0.1391566552,0.1108481825
2.169191919,0.1391566549,0.1108489003
2.217171717,0.1391566546,0.1108496342
2.265151515,0.1391566543,0.1108503842
2.313131313,0.1391566539,0.1108511503
2.361111111,0.1391566536,0.1108519325
2.409090909,0.1391566533,0.1108527309
2.457070707,0.1391566529,0.1108535453
2.505050505,0.1391566526,0.1108543759
2.553030303,0.1391566522,0.1108552225
2.601010101,0.1391566519,0.1108560853
2.648989899,0.1391566515,0.1108569641
2.696969697,0.1391566512,0.110857859
2.744949495,0.1391566509,0.1108587701
2.792929293,0.1391566505,0.1108596972
2.840909091,0.1391566501,0.1108606405
2.888888889,0.1391566498,0.1108615998
2.936868687,0.1391566494,0.1108625752
2.984848485,0.1391566491,0.1108635667
3.032828283,0.1391566487,0.1108645743
3.080808081,0.1391566484,0.110865598
3.128787879,0.139156648,0.1108666378
3.176767677,0.1391566477,0.1108676937
3.224747475,0.1391566473,0.1108687656
3.272727273,0.139156647,0.1108698537
3.320707071,0.1391566467,0.1108709578
3.368686869,0.1391566463,0.1108720781
3.416666667,0.139156646,0.1108732144
3.464646465,0.1391566457,0.1108743668
3.512626263,0.1391566453,0.1108755353
3.560606061,0.139156645,0.1108767199
3.608585859,0.1391566447,0.1108779206
3.656565657,0.1391566444,0.1108791373
3.704545455,0.1391566441,0.1108803702
3.752525253,0.1391566438,0.1108816191
3.800505051,0.1391566435,0.1108828841
3.848484848,0.1391566432,0.1108841652
3.896464646,0.1391566429,0.1108854624
3.944444444,0.1391566426,0.1108867757
3.992424242,0.1391566423,0.1108881051
4.04040404,0.1391566421,0.1108894505
4.088383838,0.1391566418,0.1108908121
4.136363636,0.1391566416,0.1108921897
4.184343434,0.1391566413,0.1108935834
4.232323232,0.1391566411,0.1108949932
4.28030303,0.1391566409,0.1108964191
4.328282828,0.1391566407,0.110897861
4.376262626,0.1391566405,0.1108993191
4.424242424,0.1391566403,0.1109007932
4.472222222,0.1391566401,0.1109022835
4.52020202,0.13915664,0.1109037898
4.568181818,0.1391566398,0.1109053122
4.616161616,0.1391566397,0.1109068507
4.664141414,0.1391566396,0.1109084052
4.712121212,0.1391566395,0.1109099758
4.76010101,0.1391566394,0.1109115626
4.808080808,0.1391566393,0.1109131657
4.856060606,0.1391566393,0.1109147846
4.904040404,0.1391566392,0.1109164245
4.952020202,0.1391566399,0.1109184363
5,0.1391566385,0.1109370993
