r,C_aq,O_aq
0.25,0.0007656651474,0.01713888349
0.297979798,2.736311266e-05,0.009292592852
0.345959596,5.628473909e-06,0.01154394895
0.3939393939,4.230696178e-06,0.01201113367
0.4419191919,4.649646815e-06,0.01205098559
0.4898989899,5.214486366e-06,0.01205621576
0.5378787879,5.659018909e-06,0.01205705444
0.5858585859,5.953751287e-06,0.01205716591
0.6338383838,6.114662398e-06,0.0120571387
0.6818181818,6.164669631e-06,0.01205709054
0.7297979798,6.12596529e-06,0.01205704305
0.7777777778,6.018011636e-06,0.01205700133
0.8257575758,5.857347295e-06,0.01205696741
0.8737373737,5.658144968e-06,0.0120569411
0.9217171717,5.432674493e-06,0.01205692124
0.9696969697,5.191455274e-06,0.01205690657
1.017676768,4.943194277e-06,0.01205689598
1.065656566,4.694638578e-06,0.01205688844
1.113636364,4.450442375e-06,0.01205688287
1.161616162,4.213124308e-06,0.01205687821
1.20959596,3.983176248e-06,0.01205687355
1.257575758,3.759366353e-06,0.01205686838
1.305555556,3.539242253e-06,0.01205686285
1.353535354,3.31978097e-06,0.01205685771
1.401515152,3.098069164e-06,0.01205685392
1.449494949,2.871866744e-06,0.01205685214
1.497474747,2.639938725e-06,0.01205685232
1.545454545,2.402128839e-06,0.01205685381
1.593434343,2.159245779e-06,0.0120568559
1.641414141,1.912878557e-06,0.01205687511
1.689393939,1.665355888e-06,0.01205684163
1.737373737,1.420053628e-06,0.01205685958
1.785353535,1.1803592e-06,0.01205686281
1.833333333,9.499219275e-07,0.01205686376
1.881313131,7.327789599e-07,0.01205686464
1.929292929,5.334232327e-07,0.01205686544
1.977272727,3.568706196e-07,0.01205686621
2.025252525,2.087284496e-07,0.01205686694
2.073232323,9.524089055e-08,0.01205686765
2.121212121,2.325215358e-08,0.01205686832
2.169191919,2.118114015e-11,0.01205686898
2.217171717,9.661002259e-15,0.01205686963
2.265151515,4.408554954e-18,0.01205687023
2.313131313,2.012626413e-21,0.01205687081
2.361111111,9.192106208e-25,0.01205687136
2.409090909,4.199953206e-28,0.01205687189
2.457070707,1.919749016e-31,0.01205687241
2.505050505,8.778260675e-35,0.0120568729
2.553030303,4.015413886e-38,0.01205687337
2.601010101,1.837401784e-41,0.01205687383
2.648989899,8.410549947e-45,0.01205687426
2.696969697,3.851109475e-48,0.01205687469
2.744949495,1.763939095e-51,0.0120568751
2.792929293,8.081888541e-55,0.01205687549
2.840909091,3.703984963e-58,0.01205687587
2.888888889,1.698041973e-61,0.01205687624
2.936868687,7.786574536e-65,0.0120568766
2.984848485,3.571572344e-68,0.01205687695
3.032828283,1.638640888e-71,0.01205687728
3.080808081,7.519967639e-75,0.01205687761
3.128787879,3.45185611e-78,0.01205687792
3.176767677,1.584859454e-81,0.01205687823
3.224747475,7.278253142e-85,0.01205687852
3.272727273,3.343174114e-88,0.01205687881
3.320707071,1.535972725e-91,0.01205687909
3.368686869,7.058266174e-95,0.01205687936
3.416666667,3.244143401e-98,0.01205687962
3.464646465,1.491375847e-101,0.01205687988
3.512626263,6.857359021e-105,0.01205688013
3.560606061,3.153603966e-108,0.01205688037
3.608585859,1.450560189e-111,0.01205688061
3.656565657,6.673299677e-115,0.01205688084
3.704545455,3.070575589e-118,0.01205688106
3.752525253,1.413094945e-121,0.01205688128
3.800505051,6.504193369e-125,0.01205688149
3.848484848,2.994224314e-128,0.0120568817
3.896464646,1.378612806e-131,0.0120568819
3.944444444,6.348421222e-135,0.0120568821
3.992424242,2.923836165e-138,0.01205688229
4.04040404,1.346798685e-141,0.01205688248
4.088383838,6.204591834e-145,0.01205688267
4.136363636,2.858796337e-148,0.01205688285
4.184343434,1.317380759e-151,0.01205688302
4.232323232,6.071502709e-155,0.01205688319
4.28030303,2.798572561e-158,0.01205688336
4.328282828,1.290123298e-161,0.01205688353
4.376262626,5.948109275e-165,0.01205688369
4.424242424,2.742701722e-168,0.01205688384
4.472222222,1.26482087e-171,0.012056884
4.52020202,5.833499812e-175,0.01205688415
4.568181818,2.69077899e-178,0.01205688429
4.616161616,1.241293633e-181,0.01205688444
4.664141414,5.726875006e-185,0.01205688458
4.712121212,2.642448944e-188,0.01205688472
4.76010101,1.219383475e-191,0.01205688485
4.808080808,5.627531166e-195,0.01205688499
4.856060606,2.597398266e-198,0.01205688512
4.904040404,1.198950832e-201,0.01205688524
4.952020202,5.534846367e-205,0.01205688537
5,2.556552335e-208,0.0120568855
