t_days,t_months,r,C,B,F_i,F_n,F_m,E,M,O
30,0.9855453351,2.121212121,1.962841805,0.0910398725,0.7210198547,0.7865295837,0.00507173413,0.09336162337,0.9970407373,0.2694000889
30,0.9855453351,2.169191919,1.962834582,0.09103971252,0.7210199903,0.7865297049,0.005071738367,0.09336162156,0.9970407371,0.2694049316
30,0.9855453351,2.217171717,1.962827708,0.09103954957,0.7210201277,0.7865298276,0.005071742767,0.09336161982,0.9970407369,0.2694098832
30,0.9855453351,2.265151515,1.962821162,0.09103938376,0.7210202669,0.7865299518,0.005071747323,0.09336161815,0.9970407367,0.2694149427
30,0.9855453351,2.313131313,1.962814925,0.09103921519,0.7210204076,0.7865300774,0.00507175203,0.09336161654,0.9970407365,0.2694201107
30,0.9855453351,2.361111111,1.962808978,0.09103904398,0.72102055,0.7865302044,0.005071756884,0.09336161498,0.9970407363,0.2694253875
30,0.9855453351,2.409090909,1.962803305,0.09103887024,0.7210206937,0.7865303325,0.005071761879,0.09336161348,0.9970407361,0.269430773
30,0.9855453351,2.457070707,1.962797891,0.09103869406,0.7210208388,0.7865304617,0.005071767008,0.09336161203,0.9970407359,0.2694362672
30,0.9855453351,2.505050505,1.962792721,0.09103851548,0.7210209851,0.786530592,0.005071772266,0.09336161063,0.9970407357,0.26944187
30,0.9855453351,2.553030303,1.962787784,0.09103833455,0.7210211324,0.7865307231,0.005071777647,0.09336160927,0.9970407356,0.2694475814
30,0.9855453351,2.601010101,1.962783066,0.09103815127,0.7210212808,0.786530855,0.005071783145,0.09336160796,0.9970407354,0.2694534014
30,0.9855453351,2.648989899,1.962778557,0.09103796563,0.7210214299,0.7865309876,0.005071788754,0.09336160669,0.9970407353,0.2694593301
30,0.9855453351,2.696969697,1.962774246,0.09103777758,0.7210215799,0.7865311208,0.005071794467,0.09336160545,0.9970407351,0.2694653674
30,0.9855453351,2.744949495,1.962770123,0.09103758705,0.7210217304,0.7865312544,0.005071800278,0.09336160426,0.997040735,0.2694715134
30,0.9855453351,2.792929293,1.96276618,0.09103739393,0.7210218814,0.7865313884,0.005071806179,0.0933616031,0.9970407348,0.2694777682
30,0.9855453351,2.840909091,1.962762409,0.09103719807,0.7210220328,0.7865315226,0.005071812166,0.09336160198,0.9970407347,0.2694841316
30,0.9855453351,2.888888889,1.962758801,0.09103699935,0.7210221844,0.7865316569,0.005071818229,0.09336160089,0.9970407345,0.2694906027
30,0.9855453351,2.936868687,1.96275535,0.09103679767,0.7210223361,0.7865317912,0.005071824362,0.09336159984,0.9970407344,0.2694971812
30,0.9855453351,2.984848485,1.962752047,0.09103659299,0.7210224878,0.7865319253,0.00507183056,0.09336159881,0.9970407343,0.2695038722
30,0.9855453351,3.032828283,1.962748888,0.09103638535,0.7210226393,0.7865320592,0.005071836812,0.09336159781,0.9970407342,0.2695106697
30,0.9855453351,3.080808081,1.962745866,0.09103617482,0.7210227905,0.7865321927,0.005071843113,0.09336159685,0.997040734,0.2695175754
30,0.9855453351,3.128787879,1.962742975,0.09103596151,0.7210229413,0.7865323257,0.005071849455,0.09336159591,0.9970407339,0.2695245897
30,0.9855453351,3.176767677,1.962740211,0.09103574552,0.7210230915,0.7865324581,0.005071855829,0.093361595,0.9970407338,0.2695317128
30,0.9855453351,3.224747475,1.962737567,0.09103552691,0.721023241,0.7865325897,0.005071862229,0.09336159412,0.9970407337,0.2695389444
30,0.9855453351,3.272727273,1.962735041,0.09103530572,0.7210233895,0.7865327204,0.005071868646,0.09336159326,0.9970407336,0.2695462847
30,0.9855453351,3.320707071,1.962732626,0.09103508193,0.7210235371,0.78653285,0.005071875071,0.09336159243,0.9970407335,0.2695537336
30,0.9855453351,3.368686869,1.962730319,0.09103485548,0.7210236835,0.7865329785,0.005071881497,0.09336159163,0.9970407334,0.2695612912
30,0.9855453351,3.416666667,1.962728117,0.09103462629,0.7210238286,0.7865331056,0.005071887914,0.09336159085,0.9970407333,0.2695689576
30,0.9855453351,3.464646465,1.962726015,0.09103439421,0.7210239722,0.7865332313,0.005071894315,0.09336159009,0.9970407332,0.2695767326
30,0.9855453351,3.512626263,1.96272401,0.09103415913,0.7210241142,0.7865333553,0.005071900691,0.09336158936,0.9970407331,0.2695846158
30,0.9855453351,3.560606061,1.962722098,0.09103392095,0.7210242545,0.7865334777,0.00507190703,0.09336158865,0.997040733,0.269592605
30,0.9855453351,3.608585859,1.962720277,0.09103367964,0.7210243927,0.7865335981,0.005071913327,0.09336158797,0.9970407329,0.2696007073
