r,C_aq,O_aq
0.25,0.1687178642,0.110799579
0.297979798,0.1687177738,0.1107996251
0.345959596,0.1687177084,0.1107997208
0.3939393939,0.1687176587,0.1107998488
0.4419191919,0.1687176198,0.1108000065
0.4898989899,0.1687175884,0.1108001915
0.5378787879,0.1687175626,0.1108004022
0.5858585859,0.168717541,0.1108006378
0.6338383838,0.1687175226,0.1108008973
0.6818181818,0.1687175067,0.1108011804
0.7297979798,0.1687174929,0.1108014866
0.7777777778,0.1687174807,0.1108018157
0.8257575758,0.16871747,0.1108021674
0.8737373737,0.1687174603,0.1108025416
0.9217171717,0.1687174517,0.1108029382
0.9696969697,0.1687174439,0.110803357
1.017676768,0.1687174367,0.110803798
1.065656566,0.1687174302,0.1108042612
1.113636364,0.1687174242,0.1108047464
1.161616162,0.1687174187,0.1108052536
1.20959596,0.1687174135,0.1108057829
1.257575758,0.1687174087,0.1108063342
1.305555556,0.1687174043,0.1108069075
1.353535354,0.1687174001,0.1108075028
1.401515152,0.1687173962,0.1108081202
1.449494949,0.1687173925,0.1108087595
1.497474747,0.168717389,0.110809421
1.545454545,0.1687173857,0.1108101045
1.593434343,0.1687173826,0.1108108101
1.641414141,0.1687173796,0.1108115379
1.689393939,0.1687173768,0.1108122879
1.737373737,0.1687173741,0.1108130602
1.785353535,0.1687173715,0.1108138548
1.833333333,0.168717369,0.1108146718
1.881313131,0.1687173666,0.1108155114
1.929292929,0.1687173643,0.1108163735
1.977272727,0.1687173621,0.1108172584
2.025252525,0.1687173599,0.1108181661
2.073232323,0.1687173579,0.1108190967
2.121212121,0.1687173559,0.1108200505
2.169191919,0.168717354,0.1108210275
2.217171717,0.1687173521,0.110822028
2.265151515,0.1687173503,0.1108230522
2.313131313,0.1687173485,0.1108241003
2.361111111,0.1687173468,0.1108251726
2.409090909,0.1687173452,0.1108262693
2.457070707,0.1687173436,0.1108273908
2.505050505,0.168717342,0.1108285373
2.553030303,0.1687173404,0.1108297094
2.601010101,0.168717339,0.1108309073
2.648989899,0.1687173375,0.1108321316
2.696969697,0.1687173361,0.1108333827
2.744949495,0.1687173347,0.1108346612
2.792929293,0.1687173333,0.1108359678
2.840909091,0.168717332,0.110837303
2.888888889,0.1687173307,0.1108386675
2.936868687,0.1687173294,0.1108400623
2.984848485,0.1687173282,0.110841488
3.032828283,0.168717327,0.1108429457
3.080808081,0.1687173258,0.1108444362
3.128787879,0.1687173247,0.1108459608
3.176767677,0.1687173235,0.1108475206
3.224747475,0.1687173224,0.1108491168
3.272727273,0.1687173214,0.1108507506
3.320707071,0.1687173203,0.1108524237
3.368686869,0.1687173193,0.1108541373
3.416666667,0.1687173183,0.1108558931
3.464646465,0.1687173173,0.1108576927
3.512626263,0.1687173164,0.1108595378
3.560606061,0.1687173154,0.1108614301
3.608585859,0.1687173145,0.1108633713
3.656565657,0.1687173137,0.1108653632
3.704545455,0.1687173128,0.1108674074
3.752525253,0.168717312,0.1108695055
3.800505051,0.1687173112,0.110871659
3.848484848,0.1687173104,0.1108738689
3.896464646,0.1687173097,0.1108761361
3.944444444,0.1687173089,0.110878461
3.992424242,0.1687173082,0.1108808434
4.04040404,0.1687173076,0.1108832822
4.088383838,0.1687173069,0.1108857755
4.136363636,0.1687173063,0.1108883201
4.184343434,0.1687173057,0.110890911
4.232323232,0.1687173052,0.1108935416
4.28030303,0.1687173046,0.1108962026
4.328282828,0.1687173041,0.1108988819
4.376262626,0.1687173037,0.1109015638
4.424242424,0.1687173032,0.1109042281
4.472222222,0.1687173028,0.1109068493
4.52020202,0.1687173024,0.1109093954
4.568181818,0.1687173021,0.1109118267
4.616161616,0.1687173018,0.110914094
4.664141414,0.1687173015,0.110916137
4.712121212,0.1687173013,0.1109178822
4.76010101,0.1687173011,0.1109192395
4.808080808,0.1687173009,0.1109200994
4.856060606,0.1687173007,0.1109203348
4.904040404,0.1687173004,0.1109197737
4.952020202,0.168717301,0.1109187124
5,0.1687173002,0.110938748
