De Gryze, European Journal of Soil Science, April 2006, 57, 235–246
Days,Soil1,Soil2,Soil3,Soil4,Soil5
0,0.452,0.24,0.199,0.406,0.358
1,0.288,0.216,0.199,0.398,0.309
2,0.301,0.123,,,
4,0.325,0.251,0.365,0.486,1.022
7,0.397,0.316,0.49,0.745,1.431
10,,0.444,0.729,,
13,0.536,0.168,0.77,1.12,1.872
16,0.654,0.753,0.872,,
21,1.007,0.81,1.014,1.273,2.406
